# time;Intens
9.672327041625976562e-01;3.891769447363913059e-04
1.224131107330322266e+00;3.693513572216033936e-04
1.378922224044799805e+00;3.895259869750589132e-04
1.469090223312377930e+00;3.893864050041884184e-04
1.557115077972412109e+00;3.854771202895790339e-04
1.604942798614501953e+00;3.826149913948029280e-04
1.609424591064453125e+00;3.767510352190583944e-04
1.615640163421630859e+00;3.699098597280681133e-04
1.657584905624389648e+00;3.803112776950001717e-04
1.741019964218139648e+00;3.715154307428747416e-04
1.840887069702148438e+00;3.724927373696118593e-04
1.890947818756103516e+00;3.875015536323189735e-04
1.940868854522705078e+00;3.697003994602710009e-04
2.010219097137451172e+00;3.776585799641907215e-04
2.057336330413818359e+00;3.847790358122438192e-04
2.110228538513183594e+00;3.763322602026164532e-04
2.179127693176269531e+00;3.949710517190396786e-04
2.240474224090576172e+00;3.704683040268719196e-04
2.310467004776000977e+00;3.769604954868555069e-04
2.357308387756347656e+00;3.830338537227362394e-04
2.398994684219360352e+00;3.818470868282020092e-04
2.440624713897705078e+00;3.717946528922766447e-04
2.510624170303344727e+00;3.780076222028583288e-04
2.557152271270751953e+00;3.822659491561353207e-04
2.644667387008666992e+00;3.758435777854174376e-04
2.757649183273315430e+00;3.819169069174677134e-04
2.808014631271362305e+00;3.782170242629945278e-04
2.841926336288452148e+00;3.731210599653422832e-04
2.911168813705444336e+00;3.752153133973479271e-04
2.965517759323120117e+00;3.882694581989198923e-04
3.049242734909057617e+00;3.772397176362574100e-04
3.098858833312988281e+00;3.833130758721381426e-04
3.165779352188110352e+00;3.897354472428560257e-04
3.250175714492797852e+00;3.767510352190583944e-04
3.307596206665039062e+00;3.774491196963936090e-04
3.357902765274047852e+00;3.807301400229334831e-04
3.415270566940307617e+00;3.695608174894005060e-04
3.532945632934570312e+00;3.692815371323376894e-04
3.599260568618774414e+00;3.852676600217819214e-04
3.632657051086425781e+00;3.692815371323376894e-04
3.699387788772583008e+00;3.824055311270058155e-04
3.765978097915649414e+00;3.877109556924551725e-04
3.857099056243896484e+00;3.810791822616010904e-04
3.931876420974731445e+00;3.690721350722014904e-04
3.999153852462768555e+00;3.868732892442494631e-04
4.075164318084716797e+00;3.904335317201912403e-04
4.174757957458496094e+00;3.889675426762551069e-04
4.257848739624023438e+00;3.801716957241296768e-04
4.323122501373291016e+00;3.690023149829357862e-04
4.406836509704589844e+00;3.802414576057344675e-04
4.457548141479492188e+00;3.810791822616010904e-04
4.498916625976562500e+00;3.836621181108057499e-04
4.532290458679199219e+00;3.688627330120652914e-04
4.582372665405273438e+00;3.932956606149673462e-04
4.657557487487792969e+00;3.821961290668696165e-04
4.732296943664550781e+00;3.691419551614671946e-04
4.815402030944824219e+00;3.688627330120652914e-04
4.932154655456542969e+00;3.690023149829357862e-04
5.014828681945800781e+00;3.684438997879624367e-04
5.114894866943359375e+00;3.691419551614671946e-04
5.215228080749511719e+00;3.731908218469470739e-04
5.307566165924072266e+00;3.759832179639488459e-04
5.357251644134521484e+00;3.828942135442048311e-04
5.400247573852539062e+00;3.850582579616457224e-04
5.431898117065429688e+00;3.692117752507328987e-04
5.507208824157714844e+00;3.805207379627972841e-04
5.574110031127929688e+00;3.892467648256570101e-04
5.658336162567138672e+00;3.794037911575287580e-04
5.715926170349121094e+00;3.727021976374089718e-04
5.816193580627441406e+00;3.694909974001348019e-04
5.932106018066406250e+00;3.690721350722014904e-04
5.990354537963867188e+00;3.884090401697903872e-04
6.033195495605468750e+00;3.689324948936700821e-04
6.082428932189941406e+00;3.937144647352397442e-04
6.116627216339111328e+00;3.690721350722014904e-04
6.199383735656738281e+00;3.838016709778457880e-04
6.274343490600585938e+00;3.905032936017960310e-04
6.366207122802734375e+00;3.921787138096988201e-04
6.441040039062500000e+00;3.706079442054033279e-04
6.490708351135253906e+00;3.892467648256570101e-04
6.557412624359130859e+00;3.811490023508667946e-04
6.607275962829589844e+00;3.785660665016621351e-04
6.674365043640136719e+00;3.937144647352397442e-04
6.740830898284912109e+00;3.709569864440709352e-04
6.832953453063964844e+00;3.690023149829357862e-04
6.899397850036621094e+00;3.854073002003133297e-04
6.957717418670654297e+00;3.827545733656734228e-04
7.008511066436767578e+00;3.774491196963936090e-04
7.051814079284667969e+00;3.765416331589221954e-04
7.115362167358398438e+00;3.692117752507328987e-04
7.199238300323486328e+00;3.835922980215400457e-04
7.257627964019775391e+00;3.801716957241296768e-04
7.358660697937011719e+00;3.801716957241296768e-04
7.440749168395996094e+00;3.699796798173338175e-04
7.490901947021484375e+00;3.877109556924551725e-04
7.575617790222167969e+00;3.930862003471702337e-04
7.658051490783691406e+00;3.818470868282020092e-04
7.740934848785400391e+00;3.699098597280681133e-04
7.815969467163085938e+00;3.694211773108690977e-04
7.915908813476562500e+00;3.729115996975451708e-04
8.016699790954589844e+00;3.693513572216033936e-04
8.116515159606933594e+00;3.690721350722014904e-04
8.208139419555664062e+00;3.777981619350612164e-04
8.274467468261718750e+00;3.902240714523941278e-04
8.365679740905761719e+00;3.872921515721827745e-04
8.458195686340332031e+00;3.821961290668696165e-04
8.526312828063964844e+00;3.693513572216033936e-04
8.626312255859375000e+00;3.693513572216033936e-04
8.691504478454589844e+00;3.879902360495179892e-04
8.731782913208007812e+00;3.694211773108690977e-04
8.791141510009765625e+00;3.905032936017960310e-04
8.857365608215332031e+00;3.835922980215400457e-04
8.931985855102539062e+00;3.703287220560014248e-04
9.015611648559570312e+00;3.744474088307470083e-04
9.116643905639648438e+00;3.734002821147441864e-04
9.215936660766601562e+00;3.724229754880070686e-04
9.307838439941406250e+00;3.752851334866136312e-04
9.348493576049804688e+00;3.771000774577260017e-04
9.391129493713378906e+00;3.904335317201912403e-04
9.457463264465332031e+00;3.855468821711838245e-04
9.516419410705566406e+00;3.737493243534117937e-04
9.582898139953613281e+00;3.902240714523941278e-04
9.691127777099609375e+00;3.901542513631284237e-04
9.757823944091796875e+00;3.794037911575287580e-04
9.798961639404296875e+00;3.844300226774066687e-04
9.841182708740234375e+00;3.697003994602710009e-04
9.899894714355468750e+00;3.838016709778457880e-04
9.931718826293945312e+00;3.693513572216033936e-04
9.982766151428222656e+00;3.942729672417044640e-04
1.005796241760253906e+01;3.856865223497152328e-04
1.007702445983886719e+01;3.900844894815236330e-04
1.017409324645996094e+01;3.902240714523941278e-04
1.019882774353027344e+01;3.835922980215400457e-04
1.028352451324462891e+01;3.931560204364359379e-04
1.029209995269775391e+01;3.888977225869894028e-04
1.030049037933349609e+01;3.839413111563771963e-04
1.030876541137695312e+01;3.776585799641907215e-04
1.037500953674316406e+01;3.901542513631284237e-04
1.040180206298828125e+01;3.848487976938486099e-04
1.041060829162597656e+01;3.784264845307916403e-04
1.048446750640869141e+01;3.920390736311674118e-04
1.050005912780761719e+01;3.862449666485190392e-04
1.050950717926025391e+01;3.794037911575287580e-04
1.050950717926025391e+01;3.731908218469470739e-04
1.054338073730468750e+01;3.727720177266746759e-04
1.055279541015625000e+01;3.780076222028583288e-04
1.064808082580566406e+01;3.727021976374089718e-04
1.065630912780761719e+01;3.780774422921240330e-04
1.065792655944824219e+01;3.842903533950448036e-04
1.070817947387695312e+01;3.764718130696564913e-04
1.076685905456542969e+01;3.890373627655208111e-04
1.086215877532958984e+01;3.881996381096541882e-04
1.087740516662597656e+01;3.942031471524387598e-04
1.095106315612792969e+01;3.760529507417231798e-04
1.102766418457031250e+01;3.693513572216033936e-04
1.111447811126708984e+01;3.747266309801489115e-04
1.122756671905517578e+01;3.701192617882043123e-04
1.124200820922851562e+01;3.740285465028136969e-04
1.125677204132080078e+01;3.787755267694592476e-04
1.134167480468750000e+01;3.697702195495367050e-04
1.139077568054199219e+01;3.875713737215846777e-04
1.145799541473388672e+01;3.843601734843105078e-04
1.149162960052490234e+01;3.873619134537875652e-04
1.156556129455566406e+01;3.868732892442494631e-04
1.167442512512207031e+01;3.925975761376321316e-04
1.179149723052978516e+01;3.921088937204331160e-04
1.186322689056396484e+01;3.845695755444467068e-04
1.194183158874511719e+01;3.699098597280681133e-04
1.201809692382812500e+01;3.692815371323376894e-04
1.204824447631835938e+01;3.740983665920794010e-04
1.211644935607910156e+01;3.691419551614671946e-04
1.214188385009765625e+01;3.738191444426774979e-04
1.215799140930175781e+01;3.801716957241296768e-04
1.222863578796386719e+01;3.673967730719596148e-04
1.231917667388916016e+01;3.694211773108690977e-04
1.247284126281738281e+01;3.926673380192369223e-04
1.276854705810546875e+01;3.914806584361940622e-04
1.290849113464355469e+01;3.812886425293982029e-04
1.303753185272216797e+01;3.699796798173338175e-04
1.304291343688964844e+01;3.742379485629498959e-04
1.315114021301269531e+01;3.767510352190583944e-04
1.316077899932861328e+01;3.833130758721381426e-04
1.326210403442382812e+01;3.856865223497152328e-04
1.327024745941162109e+01;3.926673380192369223e-04
1.334946155548095703e+01;3.779378021135926247e-04
1.335867023468017578e+01;3.847790358122438192e-04
1.345057106018066406e+01;3.760529507417231798e-04
1.356681060791015625e+01;3.891071246471256018e-04
1.367500019073486328e+01;3.927371581085026264e-04
1.375858974456787109e+01;3.842903533950448036e-04
1.382442283630371094e+01;3.715154307428747416e-04
1.395864200592041016e+01;3.850582579616457224e-04
1.410207557678222656e+01;3.865242470055818558e-04
1.423669815063476562e+01;3.707475261762738228e-04
1.441014003753662109e+01;3.802414576057344675e-04
1.457322025299072266e+01;3.925277560483664274e-04
1.479954338073730469e+01;3.872921515721827745e-04
1.498442459106445312e+01;3.929466183762997389e-04
1.517672443389892578e+01;3.928069781977683306e-04
