# tsize;time;corrperc
0.000000000000000000e+00;0.000000000000000000e+00;0.000000000000000000e+00
1.000000000000000000e+02;8.482694625854492188e-03;1.000000000000000000e+02
2.000000000000000000e+02;1.641893386840820312e-02;1.000000000000000000e+02
3.000000000000000000e+02;2.624821662902832031e-02;1.000000000000000000e+02
4.000000000000000000e+02;3.331494331359863281e-02;1.000000000000000000e+02
5.000000000000000000e+02;4.423260688781738281e-02;1.000000000000000000e+02
6.000000000000000000e+02;5.611181259155273438e-02;1.000000000000000000e+02
7.000000000000000000e+02;7.323336601257324219e-02;1.000000000000000000e+02
8.000000000000000000e+02;7.924127578735351562e-02;1.000000000000000000e+02
9.000000000000000000e+02;1.064760684967041016e-01;1.000000000000000000e+02
1.000000000000000000e+03;1.172742843627929688e-01;1.000000000000000000e+02
