# time;Intens
1.689182519912719727e+00;3.929466183762997389e-04
2.133491992950439453e+00;3.805207379627972841e-04
2.349080562591552734e+00;3.671175509225577116e-04
2.477144718170166016e+00;3.856865223497152328e-04
2.500050783157348633e+00;4.006255185231566429e-04
2.509169578552246094e+00;3.988105163443833590e-04
2.518869400024414062e+00;3.935748827643692493e-04
2.528445959091186523e+00;3.854073002003133297e-04
2.546768665313720703e+00;3.676061751320958138e-04
2.556755781173706055e+00;3.678156353998929262e-04
2.602123498916625977e+00;4.004858783446252346e-04
2.609870433807373047e+00;3.821961290668696165e-04
2.791469573974609375e+00;3.947615914512425661e-04
2.801471233367919922e+00;3.997179737780243158e-04
2.810960531234741211e+00;3.976935695391148329e-04
2.818565130233764648e+00;3.936447028536349535e-04
2.826799631118774414e+00;3.869431093335151672e-04
2.835133314132690430e+00;3.785660665016621351e-04
2.843474388122558594e+00;3.704683040268719196e-04
2.850904464721679688e+00;3.666986885946244001e-04
2.857012748718261719e+00;3.671873128041625023e-04
2.944315910339355469e+00;3.698400396388024092e-04
2.954347848892211914e+00;3.661401860881596804e-04
2.963868856430053711e+00;3.893165849149227142e-04
3.078628301620483398e+00;3.858959244098514318e-04
3.204696893692016602e+00;3.987406962551176548e-04
3.213676691055297852e+00;3.813584044110029936e-04
3.335224390029907227e+00;3.777981619350612164e-04
3.458350419998168945e+00;3.859657444991171360e-04
3.779736280441284180e+00;3.893165849149227142e-04
3.797667741775512695e+00;3.977633896283805370e-04
4.241307735443115234e+00;3.722833353094756603e-04
4.348581790924072266e+00;3.658609639387577772e-04
4.452966690063476562e+00;3.651628794614225626e-04
4.538910865783691406e+00;3.736795042641460896e-04
4.611997604370117188e+00;3.966464428231120110e-04
4.706870079040527344e+00;3.983218339271843433e-04
4.856402873992919922e+00;3.656515618786215782e-04
4.889987945556640625e+00;3.911316161975264549e-04
4.898604393005371094e+00;3.976935695391148329e-04
5.075356483459472656e+00;3.851978399325162172e-04
5.242485046386718750e+00;3.704683040268719196e-04
5.253670692443847656e+00;3.649534774012863636e-04
5.367025375366210938e+00;3.894561668857932091e-04
5.515244960784912109e+00;3.940635069739073515e-04
5.522627830505371094e+00;3.883392782881855965e-04
5.528634071350097656e+00;3.830338537227362394e-04
5.673126697540283203e+00;3.840111603494733572e-04
5.798798561096191406e+00;3.974143473897129297e-04
5.806784629821777344e+00;3.973445273004472256e-04
5.813699722290039062e+00;3.946918295696377754e-04
5.820692062377929688e+00;3.902240714523941278e-04
5.828652381896972656e+00;3.831036156043410301e-04
5.980180740356445312e+00;3.865940670948475599e-04
6.093792915344238281e+00;3.947615914512425661e-04
6.181976318359375000e+00;3.875015536323189735e-04
6.336263656616210938e+00;3.758435777854174376e-04
6.512878417968750000e+00;3.795433731283992529e-04
6.685411453247070312e+00;3.866638289764523506e-04
6.811451435089111328e+00;3.806603199336677790e-04
6.957982540130615234e+00;3.654421016108244658e-04
7.133013725280761719e+00;3.784962464123964310e-04
7.223161697387695312e+00;3.804509178735315800e-04
7.316744804382324219e+00;3.926673380192369223e-04
7.402260303497314453e+00;3.981124318670481443e-04
7.479598045349121094e+00;3.824055311270058155e-04
7.547837257385253906e+00;3.651628794614225626e-04
7.633209228515625000e+00;3.782170242629945278e-04
7.710731983184814453e+00;3.807999601121991873e-04
7.884996414184570312e+00;3.877109556924551725e-04
8.033336639404296875e+00;3.789151087403297424e-04
8.042238235473632812e+00;3.704683040268719196e-04
8.151976585388183594e+00;3.651628794614225626e-04
8.251891136169433594e+00;3.658609639387577772e-04
8.387418746948242188e+00;3.889675426762551069e-04
8.530133247375488281e+00;3.816376847680658102e-04
8.609884262084960938e+00;3.804509178735315800e-04
8.761700630187988281e+00;3.853374801110476255e-04
