0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
111010011000100110;100000110000011110;100000100100000000;000000000100000001;100000000100000000;000000000000110000;000100100000000000;000000100011100001;100010000000100000;000000100000000100;000100001000000000;101000000000000100;100011000000000000;101000000000010000;000000000000001000;000000000001100000;001000000000001000;100000000000001100;000010000000000000;000000100000000000;100000000000101000;000000001000110010;000010010000000000;000010010000000000;100010000001101000
111000111100100100;111000111100100100;000000000100000000;000000000010010000;100000100010000000;100000000101000000;000010010000000000;110101000000110010;000100000000001000;100100010000100100;100001010000000000;000000000100100000;101000001000100010;010000000000001000;010000000010000000;010000001000000000;000010000000000100;101001000101000000;110110000000100000;001001000000000000;001000000000000000;001010000010010000;000010000001000000;000001000000000100;001100010111000000
010010100100100100;100010000000000010;110000000000000100;000000100000000001;000000000001001000;000100000001000000;110000000100000010;100000000100000000;000000000000100010;100000000100000001;000000000010111011;110000100000000000;010010000000000000;000010000001000000;100000000000010010;100110111100000010;001000000000001100;100000001001000000;001001000000000000;100101110000000000;000110000000000000;011001100000000000;001000000100000000;000000000000100100;000000000010000000
010110000000011000;001100000110010100;000001010000000000;110000000100000000;000100000100000100;000000000010100000;000000000000001100;110000000010100000;100100000000001000;101000000001011000;001000110000010110;000001000010100000;101100000101000010;100000100100001000;000010000000000100;100000100001010000;000100010110011000;000000000010100000;000000100000000100;010001000000000000;100000100000010000;000001000000100000;100010000000000010;100000000000000010;011000000000000000
011101111001011000;000000000000010001;011011000011111001;100000000000011000;000000010001000000;010010000000000000;100000010000000100;010010000101000101;000000000001001000;100100010010010000;000000000100000010;001000000100000000;000000000001000010;101000000001000000;000000100000000000;100010000000010000;100100100101000000;001000001001100110;110000000100000000;100000000000100100;000000000000010001;100001000100000000;001110010101001100;111000000000000010;010010100110000100
100011111011001000;011011101100110010;101000001000000100;101001110001000000;100000000010001000;101000000010000000;001000000000001000;000000000010010000;000000000010010000;000000000000001000;110000000000010000;001000111000101000;010111000000010000;000101000000000000;100001000000100000;010000000000000100;000000100001011000;101001000001001000;000100100101001000;100011000000000000;100001100110000000;000000010101000100;100000000100000000;100001100000000000;111000000000000000
001000100110110110;010001001011111001;000010000000000100;000000000001000100;010010000001000100;100010000000010000;100000000000010000;000000000100100000;100000000100101000;010000000001000000;001100100001010010;101000000010000000;000101000000000000;010000000100000010;100001000000000100;000000110000100000;010000000000010000;100000000010100000;101000000100000000;000000010000000100;110000100000000000;100100000000000001;000010000001000000;000000110000000000;101000100000000000
110010000101011101;100000000001010000;000000000100001000;100000000000100001;101000000000010100;100000100010000000;100000010000000000;010000000100000000;101100000010000000;000000010000001000;000100001000000000;000100000100011000;100000000000001100;000000100000000000;010000000000000100;100010000001010000;100001000000100000;110000000000001000;100001000001000000;010100000000100000;000000000010010000;001000000000001000;100010000000001000;111000100010010001;000001000001000000
101001000010100101;000110001011100100;100001000000000100;100000000001000000;001000000000001000;010010001000001000;010010000011000010;110010000000001000;101000001000000000;000000000010000010;001000000101010000;100001000000000100;000100000000010000;100100000001010010;100010100000000000;000111000000010000;100101000000000000;000100010000000000;100000000001000000;000000000000000111;011110000110000100;000001000000000100;100010000000000000;100000001000001010;000000000100010011
000101100111111011;010100101111011000;101100000000000000;000100000010000000;111111100111111101;010010000110001000;100100010000000000;111010000000000100;000001000010000000;100000000001001000;110000000001000000;000000000001000000;001000000000000000;000000000010000100;011000000010100100;001100100000000000;101100001100000000;000001000100000000;000000000110000000;100000000000100000;010100000000100000;000000100000001000;001000000000000000;111000000000000000;000010000000100000
111101011110111000;100000000011000000;000000000000100000;100000000000000100;100000001000000000;010000000000001000;000000000000100000;000010000001100101;000000010010000000;100100100000010000;100001001000000000;001001000000000000;011001000000010100;100001000000000110;100010000000000000;000000000000110010;000000000000101000;101000000100000000;010000000000000100;100000100010011000;000100100010011000;100000000010000100;000000000100010000;010000000000100000;000000100000001000
001100000110010100;010100000001111000;100000000011000000;100010000011000000;111011000001110000;110000000000010000;100000000010001000;010001000001000000;100000100001010000;001000000000000100;111011000110001000;110001100001000000;001100000000000000;000101000011000100;010000000000001000;100001000000100000;100011000000010100;100010100000000000;000000100100000000;010000000010000000;100000000001000100;000000000010000000;000000000001010000;100100000000000000;100001000010000000
110001110111100110;011001001101101100;111000000010101000;100000000010000100;100000000110000000;000010000000000010;010001000001100000;000010000010000000;001000000000000100;010000000001000000;000001011010000000;000001000000000010;000010000000000010;000000000000000101;100010000000100000;010011000000000110;000010000001010000;100000000100000100;100001000010110010;000001000001000000;100000100000000100;100100000000000100;110000000000100000;000000000100001000;101100001001010000
110001110111010110;000001000100000000;000000000010000100;100000000100000100;100000010000010000;100010000001000110;100010000000010000;011010000101001000;110000000100000000;000000100001000000;010001110000010000;000001000000000001;000000000100001000;001000000000000001;100100000100000000;000010000001000100;010100000001000101;100000100000000000;101000000000000100;100001100110000000;000000010000000010;000000000000001001;100110000000000000;100000000001001000;000010000000000000
000111100111100010;100000000010000000;010001000000000000;110000000000000100;000000000001000001;000010010000000000;010000000001000000;001001000000000111;100000000000000001;000110000001101101;100000000100100000;010000000000010000;100000100001010000;000100000010000000;011000000000000000;000010000000100000;100000000010010000;100001000001000000;101000000000110000;100000010010000000;011000000000000000;000010000010000000;000010000101010000;000000100000100000;010000000000000010
110001011001110010;110010000101011101;100000000000110000;010000000000001000;000010000000000001;111111100000000000;100000000100000000;100000010000000100;110000000001101111;001000100000000000;100000000100000000;000000010000101000;100000000101000000;000000000010010000;000000000001000000;000000000100000010;001000010001100000;000000000001100000;100010100000000000;001001000000000000;001001000000000000;110000000001000000;100001001010001000;010000100101000000;101000100000001100
100111000001110000;001010000000000000;100001000000010000;100000000000001000;010000000100000000;111000010000010001;100010110010101000;000000000001001000;000010000010000000;101000000000001000;111000000000000011;000000000000101000;000000000001010000;100000000101000000;000010000000000100;000000010100000000;100000000100000001;010000010100000001;000000100000000000;010100000000000000;000000000001000100;000000100010000000;010100000010000100;000111000100000000;000000110000000000
010101000111001101;101000000000100000;101000000000100000;110110100000000010;010101000000100010;010010000100100000;111111100000000000;100000000101000000;010000000100000000;100110000000000000;100000000000000010;010000001100000000;100000001000100100;010001110000110010;100001000000000000;101000000000000100;000000000000010100;001010100001010000;000100000000000010;101000000000110000;010000100101010000;000100001000000000;010000100101000000;100000000001111000;100000001000001000
010000000101100101;001000001000000000;000011000000000000;000000001001000000;001001010010010100;111000000000000000;110101000000110010;000000000000101000;000000000010001000;100101000000000100;000001000010100000;100000000000000000;110100000000000000;000110100100000000;000000000000010000;100100000000000000;001000000100000000;101000000000110000;000000000000110000;010000001010000110;000000100000000010;100000000000000011;100000000001000100;010010001101010000;110000001011001100
100001110010101000;100111000001110000;100111000111110000;000000000000100000;110000100000110000;101000000001010000;101000000000000010;101000000000000100;001100000000000000;000100000001001000;100000100010000000;010111000000010000;110010000000000000;001100000110101000;000010010000001000;000010000000000100;001000010010010000;000001000010000000;000000100001011000;001000100000000000;000100100000000000;100000000100100000;100000000010110010;110100000000100000;000000010100000000
100100100111111111;100000000000100000;100001001000000000;000001000000000010;100001000000000100;010000000000000001;010010100000000000;100000000000101000;010000000000000001;000000000100000000;101000000100000000;101100000000001000;000100000000001000;000011000000000000;001000000000011000;000000000001010000;000110000000000110;100001000000010000;010000000000100000;000000000000001010;000010100000000000;100100000000000000;111010100010000000;010010000100100000;100010001000000000
011110101001110000;101010000001011110;000100000100000000;010100000000001010;010100000000001010;010000100000000000;000100000000000001;100000010010000000;100000010001011000;000001010100000001;000000001000100000;000001000000100000;101000000100000000;010010000011000010;100001000010000000;000000100000000000;000100000000000000;000000010000000010;000100000000100000;010000000010000000;100001000000000100;010100100010010000;100000100000000000;101101000001000000;000000000100010000
