0;1;2;3;4;5;6;7;8;9
000010101101100001;011111101010010110;010000101101011110;101111110010001001;101001000000011001;010101110110010110;100000100000000001;000010000001110100;000001010010000100;100000100000000001
000010101110101000;001000110000111110;010010110100110011;000000101000000000;001111000001000100;000001010000000101;100010001100010000;000000000001000100;100001111100000000;101101011110110011
110111001011011111;110100110001110100;100000010010100000;100010001001000010;000001000000000010;100000011000000000;000100001000000000;011000110100100001;100000011000110100;100000000010001001
110100101000101111;101100001110110111;100000010000100000;000000001100000000;100001001000000000;000100000000000010;101000010010000000;000000001000000001;001000000000000001;100000111110000000
001001101100111001;101000000000000010;110000001000000000;010001010101000000;110100001000010000;100010000000000100;000000010000000001;010001010001000010;000000010000000001;101010100001000000
001010110110111000;010110010101110000;000000010001000000;000000000000001001;110000101010100100;100000001000000100;100110000000000000;101110110001001100;001100010100000011;100101011011010101
001011001010010001;110110001010101011;111100010001000100;100000000000000010;100000100001101001;101000000000100001;100000000000000001;001000001000000000;110000000000000001;100000001010000000
110001011010011011;100001010000000000;000100010011000011;000000011000000000;000000010000110100;000011101000100001;101001001000010010;110000001100100010;000000100110101101;100000010000010000
100011001011110110;111100000011101001;000000001011110010;100000001000100000;100000011110000000;000000001100000000;100000010000000010;000000001000001000;000000001100000000;110100000100010001
000011100100100000;100111010011011110;001011110100101101;111111111010000000;101101001000000011;000001000000100011;001001010000101001;100010001101000110;011001010101000000;000000001100000100
110101110010110110;000000100010000000;000001000000000100;000100100000000000;100100001000100101;000000100000000001;000001010000000000;101100100001000001;001000001000000000;100000000000010000
011011011001001111;100001000000000001;100000000000000011;000000001000100000;000000001000001000;000100010000000000;101111010100101001;100100000000000000;000000001000110101;100100010000000000
010010110001011011;101000000110101100;100000100000001010;100100000000100000;100000101000000000;110100010011000000;100000001110010001;100000000100100001;100100001100111000;000110100000001010
000010100000101001;011111110101100010;100010000101011111;101000010010010000;000000000000010010;001000100000000010;000100010011100000;100010000000000010;001000011000001000;001101100000010010
110000110100110010;101101000101001111;101000000101000001;100000000000000011;111001000000011110;100101001000000000;010000001000000000;011100010000100000;000000100000000100;110000011000000000
100110101110011110;010101111011011110;100000000000000011;010000001010011100;100000000000000110;100001100000100010;000000000100000001;001000010000101100;100000001000000010;100000000110110001
110100101111100101;011100100000110010;000100100010100000;100010100000001001;100000101000100010;100001000100000000;100000001000000100;000010010000000000;110100000011011001;001100010000010001
110000101010110101;100000001001000000;100011010000011101;000011001110000101;001000011000000000;101101010000010000;010000001001000000;000000001000010000;000000100000100000;010010000001101001
000110010011101101;100000000010000001;000100010000000000;001000010000000000;001000010100000110;000001000000000010;100000010010001010;100000110000000110;101111001110000001;000000000100000001
110000010010000001;100100010001110101;100000000001100000;100010001000000000;100010110010000001;000100111001001111;000000000000001001;000000001000000100;000010000000000011;100001101011000101
111100001011110110;101001000011101111;110000001000101000;100001000000000001;000000000000000011;001000000100001010;100000110000010001;110001001010000000;000000001000000100;100000010000000001
001111111101111111;100010100000000000;000000001000000100;000000100110000010;100001000001010001;000100000110000010;110100001000000001;100100001000000000;100000000001100001;000000010010001000
010101101000001010;000000010000000100;100000000000000010;000000000000001100;010100000000000010;110001001001000000;100000000000100010;000000000010000100;000000011000100010;100000001001000000
100011011101001101;001001101110000000;100001000010000000;110100100010000111;110000100000000000;011010010110010000;110010000000000110;000001000000000001;100000000000001001;000010001100000011
110010111101001000;110111110001011111;011101111001101010;100000001000010000;010000000010110000;000010001000010000;100000010000000100;000000100010000110;100100000000000001;010000001000000000
011010011010010001;001011010101011011;100000001000001000;000100000000000001;001110000110000011;100000010011000001;100000110000010001;011101000001010011;000000010100000000;000000001000011001
111001011001101110;001000000110111100;111000000100001101;100111101100100100;000000110000000000;100101010001001010;100000111010000000;000101000001001000;100000110110000000;010001001000000010
010011100101111001;110110110011000110;010001000100010011;110000000011011111;100000001000000010;000010010100000001;100000011000000000;000000010010011101;000000100000000001;100100111000000101
111000111110101110;101110010000110011;000000100010000000;100010100101110110;110100011001000000;101101000001000001;001000100010100000;100111011000010000;001000101001000100;100010000000000110
110000000011101110;110011000010100110;100110000110000101;011010010011000110;100000000001101110;001000001110101100;100000110000000000;001000001000000000;100010010000000000;100000000001000010
000000110110000101;000100010000000000;000001101111111111;110000000000000010;100000001010100000;000000001100100100;000000001001000000;100000010001000001;100000001000000001;100000010000100000
100101101100111110;110000011001101011;000010100000100100;000000110000000000;100010011001000101;101000101000010000;100000011000000000;010000011100000000;100000010110011001;110010010000000000
010100011110111000;000111010100001001;000000010010000000;000000000001100001;100000100010000010;010100000101000010;000001100010100000;100000001000000001;000000001010000000;110000110110100000
110101011111110001;100001101011100110;100000000000000101;100101100010100100;100000000000000011;010100000001000010;000000010101000100;101101000000100100;100000001000011010;110000010100011000
100110010010110001;101000011011010001;001100000000100001;000000000010001000;110000010000000000;000000000000001010;000000001100000000;100011000001000001;100000001000000100;001000100000000000
101101110001110010;011001000001110011;000100101011001101;100001101000001101;000010010000011000;000001010000000000;001000001100110010;011100110001100000;100000010000000001;001110011001000000
001101111111111010;111100111011010011;110100111000010101;100100010010001011;000100010000000000;000001001010000000;000000000100000001;000000101000000000;101110010101000001;100010010000000000
001111110100010101;100000000100000001;000100110001101010;000000000001000001;100000001000011000;100100001010010010;000000010000010000;100000100000001000;100000101000000000;000000000000000011
111110011011010001;100000000000010001;011111011111110100;100100010101001100;100000010000000010;110000000000000100;100001000000000001;101000100000000000;100101001110000000;000000001100000011
111010001101101011;111100010110111011;111001011111000111;001000000000011010;100010110000001011;100010010000000000;000011011000000000;111101100110000110;000011000000010000;100000000100001010
011110111001000101;000000000000000110;100110000010001001;100100001000000000;100000001000000001;110000001000000000;100010001001000011;100000000100000100;000000000000010001;100001000000000010
101010100000001001;000011101110001101;100001110100000100;000100000000000001;000000001000000010;010000001000010011;000000100000000010;000000001000000100;010000010010011000;000000010010001101
110001110110001001;111001110100000111;000000100000000010;101000000101000001;000010000001100100;000000010010000000;100001111000100100;000000011000000000;000000000000010001;101100000001010110
100010000010111110;000101111111101101;000000011100011000;000000001010000000;111001001101000000;101011001000000000;001010011110000110;000110010000111000;000010010111001100;110000110011010001
010100100000100111;011101001000000000;000111010010010100;010010001000001101;001000001010100000;000000001000000000;100000001000001000;100000010000001000;000100100001001100;100001001000010000
000111000111100111;000110100011001100;011100100111011110;001001101000100010;100100010000010001;001000001000000000;000000001001000000;101011000001100000;010000000000000001;100000101100100001
001011110100101101;101111101110011000;001000001000000000;000000100001000000;100000000000001010;100010001100010000;010000011101111010;100001001000000000;000000001100000000;000000110000000000
110100010010011110;111110110110100011;001000010000000000;001000101010000010;000000010010000000;000001001000000000;001010010001000000;000000000000001100;100011000000000000;000000000000000110
000110101001101011;111101001010110010;000000011011011010;100000010000010010;100000000000000011;001111010100001101;100000001000000000;100001010000010100;100100001100101000;100011000011000010
001111101001000001;001000010000000000;100001000010000000;100000001001101000;100000001000000001;100000010100010111;000001011010001100;111000111000110100;100000000001100000;101000011111001100
110011000011110101;000001011111110011;100000000100000010;001001110101000001;111101111000000011;100000000110000001;101010010010010001;100000010010000001;101110100100000010;001010000010010000
111110001011101100;100000001010000000;110000111110000000;110000010000000000;000000100001001011;110101101000000010;000001010000000011;011010001100000110;000001100000000101;000000011000101000
110011010001110110;100000100000000010;000001001000100001;011000000000000001;000010000000000010;000000000000000011;100010000000000001;001000000000001001;000010000000000001;000000100100000101
010011111010101110;000000101011100110;011000101100010011;010011001010100010;100010010000000000;001001010000000000;010110010100101001;001100010101000010;100000011100000010;100100000001010010
010000000101110100;101110011110101010;100010000000000001;100000000000100001;100001000000010000;100000001000010000;001001010000100010;000000000000010001;100000000000000100;101010100010010001
110010011010101010;110001100110110011;101101101100100100;100000001000000100;000000000100000001;010100110101110001;001000010000000000;100110100011011001;000000001110001010;000100011001000001
111110011000101110;101011110111000100;010000001000000000;000110010101010101;001000010000000000;100100001000000010;001000000000000001;000000000000010010;000100100011010000;001000001000101010
010010011010100011;110101101100111110;011000111000010010;000000000100000100;100001101011111010;000000100000110010;100010110111011000;100010110000000001;101001011100101010;110010100001001101
001110101000011011;100000001000000001;000000100010000100;001000000010010010;010010001010000010;000001000000000100;010000011000010000;100001110100001111;001000001000000000;100000100000000100
110111010010111000;001111100000110001;010100100111001000;100001110101110001;000010001000000000;011000100100000000;100010001010000010;000011000000000000;000011100000000001;110100000000010001
110101101100010001;001111100010100100;000000001000010000;111010001000000001;101001000000000010;100000000000001100;100000000100100101;001110010100000011;000000000000000101;100001001110001100
011111000110001100;111100100011011010;010011101001001001;111001100111111111;000000101000000000;010000010000000000;000000001000000110;100000100100000010;010100001010010001;100000001000000100
011000000011110111;010101101001101100;100110010000000000;101000000000011101;000000000010001001;010011001111100011;101000000000000100;000000010000000010;000000010010000000;000010000000000001
011101101101000110;101011101100001110;000100101010000111;101000000110011011;100000011000000000;100001100100000101;001000010110101000;001001010000000000;101100110100100001;101000000000101101
110001001001100110;011001100101101011;000100000000000010;000000001000010000;000001011000000001;010001001000000010;000000010000010000;001110000001000000;100000000000100010;100000000100001000
010101011011111101;101001011001010010;101000000001001100;100000110000000000;100001101001010100;101000100001100011;000100110100101011;010000011001000001;000000011110011101;010001110010000000
001101011101110110;000101110011000101;101110110111001010;000000011000000000;100011001000000001;000001011000001000;100000100000010000;010000100010000010;001100000000000101;100101000100011000
101010010000001100;110011000100010100;100001001000000000;100000000000001001;000100000000000010;000010010000010010;000010000000000100;101010001000000010;100010010000000000;100100100000000001
001101100111111110;000000000000000011;000011101110011111;000000001000001100;001000101111001000;000000010000000100;000000100000000001;000001000000000001;100000010001000000;000010000000010011
110101000110101101;100000000000100001;100000100100011111;010010000001000010;101100001000100000;100001100100001110;000000000000100001;100000001000000010;000100011001000001;000000010000000001
100111001010111110;010100010101000000;100000010000000001;000000001001010000;101111111110001001;101000000000000001;000001000101010000;000000001000000100;000000001100000001;101101010011001000
000010111101010101;010001110100001011;101001101000111010;111111010101000000;100100001010010010;000010001001001000;100000000000001001;001000000100100011;111010110000100010;100100010000001100
100001000101110111;001100011000110010;010000010000000000;110111001001001000;000000000000000011;100100000000000010;000100001000000000;100000000000100001;100111101100010000;011000000100000000
010000000011100010;100000110101110001;000000001011101010;000000010100010010;100000000000000010;001111011000010001;110010000001000101;000001000010000000;000000000000001100;000000101001010010
101011111001010111;100000001000000001;000000110000000000;000000000100000010;000000000000100111;100101101000011011;000000100000000010;100010000010001100;000010000000100100;100000000001000001
000011100110011111;000010111111011010;000000000001000001;100000000000100100;000101011111000000;000000001100010000;100000100000000010;000000000010000010;101010100000000001;001000011000000100
011100110101000001;101011001100101101;001010000100000010;010000000010001100;100000010000001000;000000001010000000;101100000100100000;000100000000000010;101001001101000000;000000000010000001
110010010001011111;011111101100001011;000000000100000001;000000010000000001;000010010100001000;101001000000000010;100010001000100000;100001011110001001;000000010000000100;000100000000000001
000000101000100111;100000000000000001;000010110000110000;100110000000001000;101001001000000001;110000000110001010;000010001101001011;000110100000000000;100000001000000001;010000001000000101
101010100111011001;111110101101111011;000000000001000001;100000000010000001;110000100011000000;101000001000000000;100000001000100000;100000010000100000;001000011100000110;000000100000000011
110111100111100100;100000110000000000;100000010100000000;100001010111110001;010000010000000000;000000000010000001;000000000000000001;100000000000000011;010000010000000000;000000000000001010
101000000000001010;100110100010001010;100011101111011111;000000000000100010;110000001011001011;101000110010010010;000010100100001100;011000000000000001;000000001000000100;000000100000000111
010100010001011011;000000110000000000;000011000010001011;010101011110000111;000000000000000101;000001001000001101;100000001101010000;110000000010011001;110001000000000010;011000001000001000
100011001000001101;011010111001100110;111100000010100110;100000001000010001;001100000000000010;010000000000000001;000000001100000000;111011010000010110;010000001001001000;111000010010001001
101111010000101001;100100000000000010;011101110001110100;000100001000000000;010001000000001001;010000101000000010;001000010100001100;100000100000010001;001000001100000000;110000100000000000
110000011111101111;000110010110000111;110101011011101111;000000000000010010;001110100101100010;111000010001100010;010000000000100011;100000000000000110;001000010000000000;100000100100001010
101111011110110110;101110011100011111;010000100000000001;011001101100101010;110110001000000100;101010000010000101;000010000000000001;000000000000010100;100010000011000001;101001000000011010
011101111011001000;110000110101111110;100110111011000101;000101100101111101;101100000000000111;000000001000001100;010000011001000001;000001000000001011;000001011100100001;100000011000001000
001000101111011100;101000000000001011;000011100000001111;000000000000010010;100101010000000010;111001001000001000;000000001000010000;110000000000000010;000000000011001001;100000100000001110
110010010100100111;100100001000000000;100000001000000100;110101100000100001;111100010100011000;000000001000100000;100000000010000010;100000010000000000;000011010010000000;010010011010100001
010110000100001101;001000010011011010;101100001011111111;011011001100000001;100000000100000101;101101000000001000;100000010010001010;101000000000000001;010000000000001001;001000100000001000
001010100101000101;011111010000011110;011010010010010100;010110010011001101;000000010000010000;101001001100000100;000010001110000100;000000000010000001;000001001000000000;100000000000010001
101001100011100101;100000001000000100;100000000000000011;000001001101001000;011000101101001010;000000110000000000;000000010000000010;100010110000000000;110000000000000010;000010110000000010
101000000010000010;001101001100111110;000010011110000111;111101110111110111;000000001001000000;000000101000000101;000000000010000010;000000001000100000;010110010001001010;001010000000011000
000111000001111110;101100010001001000;000000010000010001;000000101000000000;100000001000000100;110000001000001000;000000110000000000;100000000100000001;101001000010000101;000101001010000100
101101011100100010;110101000010100001;010110100001110001;101111100000000011;011001110101000000;000011000000000000;100000010010000000;110000001010001010;000000000100000010;010000000100000011
010001101100010100;000100111000101001;001001001010010000;100100001000000000;100100000000000101;000000110010000000;100101000000110100;100100001000000000;000000000010000001;000010010000100000
101100111001101101;110000011110110001;001001100010000101;110010100001000000;001000100101101110;110101100100010001;011000100001110101;010001101100000000;000000100000000010;000000010100000000
011011000110100001;001001011111000100;100100000000000001;010000000000000001;100001000100110000;000010000000010110;000100000000000010;101010001000010001;001000001000000000;000000100000010000
000011011011000111;100000001010000000;100100000000000001;010010101110001001;001010010001100010;100000100000000010;011110001110001010;000101110001010010;000000001000000001;001101001000010010
010011010000100110;100000001001010111;000010100000000000;000010001000100010;100010010000100001;100001010000000000;101100010100011000;100010000000010101;111010001001000100;000100100000000000
100101110110100001;111101001100100001;101011001010111011;100000000000000011;100000010011000011;100010100101010000;111101100110000110;000000000010001000;000000000000001010;100000000000010001
101011000100000110;011100100001110100;100000001000000001;000000010000100000;100000001000001000;110100101000100000;100000100000000001;110000101000011001;100000000100000010;100000010000000001
101001111101001101;011110110111010101;010000000000000001;101110101010000111;100001001001010000;000000000010000001;100100100100100110;000100100000000000;101010011000010001;101001111000011100
011010111111010111;001110000000000101;000000000000001010;110000000000000001;000000011010100000;111101100100001110;000000100000010000;101000001100000001;100100101000001000;100000001000011001
110111001001111000;100000010000000000;100110000001000001;000000101000001000;100111101100100100;000000000010000010;110101101000000010;001010011110000110;111001110000000000;100100111000000011
101010001000010111;100100010000000000;001110101001100001;100011100011000101;101000001000000000;000000000000110010;000000000100000001;101000000001100010;110010010000000000;110101110011000000
101111011110101001;000110001101010111;001000001000000000;101100011011011010;000000000001000001;000010101111001001;001010000000000000;000000001000000000;100101111000000011;100001000000110101
001001100110010011;100000101000000000;010000000110000111;000010010000000011;000010100000000000;001000010110100000;111001000010000000;111000001010000001;001000000101100000;000100000000000001
100010111100011010;100000000001000001;110100010000001000;000100001000000000;100000000001000001;010000001001000100;101000110000100101;100010110111011000;010000100000000000;100000000010010000
000101110000000010;010011011011111110;110111100001001000;100100000001110011;000010110000000000;010001001110000000;000000000010000010;000000000010000010;100010010000001000;010100000100000001
010111001000011100;100001010000000000;001101100110000101;101011001110010010;011010001000000000;100000000000000110;000000001011100100;110000101010000000;000000001000000001;100010010000000001
101011111001010111;001010011101110101;100100001001100000;010100010000000100;000000010001000000;010000000000110010;011101000001010011;100000001000000100;111000111010100000;000000011000010010
011000111110010111;100000000000000101;111111110000010110;000010000000000100;001111111010100000;100000001001000000;101010001000000110;111010000000001100;000000000010101100;000000000000001010
111010000010011001;110011101100111001;001000001000010011;001001001000001000;110000000000010011;001000010000010001;101100001000000111;100000010100000001;000000010000000010;000000000000000100
100111110010100110;110110101101001111;100000100000001000;100011101101110101;100111101000001000;000000001000110100;000000000000010010;100100000000000101;100001001000100010;100000010000000110
101111110110010011;110111101000010000;000100001000001000;100000001000011000;100100011000000000;001100011001101100;000000001000010000;101001000000000000;100000101000000000;010000000000000001
001100101110011010;110101100011011110;110000010000101100;100010010000000000;100101000001001010;000000001000011010;000111010011010000;001000000000000010;000000111000000001;100000101000000011
000010001010111110;010101101110001100;001110101011101101;011000101100010001;010000000000100101;101000001000000000;000000011010000001;010000001010110001;100000011100000100;111000010001000100
000010111001001111;010011101111111000;011111101110101010;011111110010110000;000011001111100101;100010010000000000;100000001010000000;000000010000000000;110000001000000000;010000010000011001
001111111101010101;101111001010011011;010000001000000000;010001000110000101;000111100100110000;100000000000001100;100001010000000000;100000100000000010;100000100000001001;100000000001000001
011011101000001110;001110100110110111;011011101010100010;001000000000000001;000000010000000001;000000010100000000;100000001000000010;000000001110001000;000000001100000100;000011101001100001
101100001010100010;011010001000010100;000110000000001001;100000000100000010;001001000110010100;001001000000000011;010001010101000100;000000101000000000;110010101000001100;110010010010000010
101011101110101101;100110001101111111;101010011110000100;000000000110011100;000100000000000010;000110010101000101;000000010001000000;100100001000000000;100000000000000001;100000000011000001
111001000000011110;101111010010011010;000001000000000001;100000001000000100;100010001000000000;110100000010111000;000000100001000001;110100001000010000;100010000000000001;000000000000000100
010001110010000100;111100010111000110;010000001001100010;111100000001000001;000000000100100001;010010011010101010;000000010000000000;101101001010000010;000000101011000001;100001010011100010
101111010111101011;011101010110110101;011000000010011110;111011100110000010;001101000000000010;100100010000000000;100000000010001101;101000000000000001;100110110011000010;000100001000000000
001101101111010000;110100001111001001;000000000000100001;001110101001110001;101010100000010001;100001000010100011;100000001000000001;110101111001000001;100000011000111001;100000010010000110
001111001011100101;100111000011010001;011110001011010010;001001000000010001;001010000110000001;001000000000000001;011111010011101110;110101010000000001;000000100000000001;111000011100000000
