0;1;2;3;4;5;6;7;8;9
001010110111001110;000000000110000000;100000000011000000;011001100011100100;011000000010111000;000010010000001010;000010000100000000;110010000010010000;001100000000000000;100000000100100000
101111100111101111;100000000001001000;100000000000000001;101000000000000100;101000100100010001;100000000000101000;110000000000100000;000000000000110000;100000000100000100;101010000110000010
010111000111100001;000100000001000000;100000100000001000;100010000000000000;001000100000100000;000100000000000000;110000000000010000;000000000100010000;000000100100000000;000000100100000000
110011000101000100;100000100000100000;100000000010100000;100110000100001100;001000000000111010;010100100000001000;000000000000001001;000000000000110000;000010000100000000;000000100001011000
111111000100010011;011111101101100001;100000000001000100;000000000000101000;000000000000001000;000101000001100000;101000000000010000;100000000001000010;110000110010000000;001000001000000000
011010100000110100;101000010000000000;100111000100000000;000100000000100000;000001000000000100;010000100011001000;010001000110000000;001000000010000000;100000100110010100;100000000000000010
001001100100100001;101001100110110011;111000000000110001;110000000001000000;100000000000001000;101000000000000100;100100000000000000;100010000000100000;010000001000000000;000010001011110010
000111000110001010;101101111101111100;000000010010000000;100000101000000000;101110010100101000;010010000010000100;100010000000000000;011000010000000100;001010000100001000;000000010000000010
000011001111000100;010000010000000000;000000000000011000;000000010000100000;100000000010001000;000000000000100100;100100000000000100;101000010100000100;100000000010000000;110000000000100000
111010010111111101;000100010000000000;100010000010000000;000000100101000000;100010000001000000;000000000000100000;010101000000100100;010000000000001000;010000001001000000;000000010000000100
101000011001100111;100000000001010000;000000000001000010;000000000000010000;100000000010000001;101001000000000100;100000000000000001;001000000100000000;010000100011001000;110000000000000100
100011100110011001;000001100000000000;000001000000000100;100000001000001000;000000101110000000;100000000010100000;100000100000000000;001000000000000100;000010100100110000;000000000110000000
000110010101010000;100000000011010100;000000001001000010;000000000000001001;100000100000000011;100011000000000000;001000010000000100;110000000000010000;000000000100001000;100010000000010000
110001010001100110;001000000000100000;101000000001000000;110000000100011000;000000010000000100;000000000010000100;000000000010000000;110001000000010000;100000000001001000;100001000001000000
111001000000010010;100000000001000000;111000000000000000;100001000001000001;101000000100000000;110000000000000000;000000000000000110;010101010000110010;100001000010000000;010001000000011000
011101011010100000;000001001000000000;100000001001000000;000000010000010000;100000011000000000;000001100000110000;001010100000000100;110000000000000100;000000110000000000;000001000000010000
111000011000010000;000110000110000000;100110011011100000;100100000000001000;010100100000010000;000000000001001000;001101000000000000;101000000100000000;100100000001100000;010001000000000000
010100010011011100;010011110101011100;000110010010000000;001000000100000000;000000001011010000;000100000000100000;100001000010000000;010000000110100000;101000000000000100;100010000000000100
010110100111111000;100010000010000000;000000000010010000;010000000000011000;001000000000001000;001000000010000000;001000000010100000;100000100000000100;000011000000000000;101000000000001000
101100100110000111;111010110001001000;100000100101100010;011010100000000100;101001000100000000;110011100001011100;001100000000000000;000000000000110000;000000001000000001;100100000000100000
010110111100011010;000001000000001000;100100000000000001;001000000000000100;100011000000000010;100000000011000000;101100000000000000;110000000000000000;100000000000001100;000000000000000000
110100000111011100;111001010110010000;010000000100010010;100010000001010110;100000001000000000;101001100000010000;001100000000100000;000100000000010000;110001000000000000;100001000000100000
100011010010100000;101000000010000000;001000000001100100;100010000001000000;010001000000001000;001000000001000000;001000000000000000;000010000001000000;001001010000100000;000000000100000010
