0;1;2;3;4;5;6;7;8;9
111100011000000100;100001000010000000;011010101110000000;000001100011100000;000001000000000001;010000001000000000;000110000001000100;011001001000101000;011001000010000000;001000100000000000
011010001001100100;000000010000100000;100000000100000000;100001000101000111;000010101011000000;000000011100000100;001011011000001000;100000100000000100;110001000000110100;100001010000000000
111011101100101110;100000100000001000;101000000000000001;001101001100111110;000001000000010000;001011101110011000;000001000100000000;101000001000000000;000000000000000000;001000000000010000
010111000010111001;001000000000000010;111011110000010100;010000000000001000;110000000010000000;110000001100011010;001001000000000000;100000100001000000;000001010000000000;000000100000101101
001111100000101001;010111010011010100;000000100000000001;110000001010000000;000000101001011000;000000000000110000;100010000000000100;000000000001001000;010100000000000110;001001100111100000
110110111001110110;000000000100010000;100010000001000000;100000010100000000;100000001000000010;000000000000001001;000000000000000000;100100000000000001;100000101000000000;011000100000000010
010101100000101100;100000000001000000;100000000101010100;000000000100000001;100000000000001100;001101000001001011;110000000000000001;010000000100000001;001000000000000010;100000010000000100
101101100000011101;101001110000000101;001000000100000000;000000000111101001;100000100000100000;001000000100000000;100101000010001000;111011000100000001;000010000000010101;001000000100001000
101000111101110101;110000101101010101;011000110101000110;001110000000100000;101010101010000100;001000001100100001;100001100100000001;100000000000010000;100010000100000000;000100100000010100
110111000011010010;100000001000010000;100000000100000000;010000010000000000;011101000101100000;100000110100010010;000010000100000000;100000010010110000;000001000000000000;100000100010101011
001110000000010010;110010001010110110;100100000000000000;001000000010000000;100011001001111111;100100000000100000;100000000000000100;000011111000000000;000000000000000100;000000000001000100
000001101011100111;100000000001000100;000010000000000000;000000110100000001;100000010000100000;000000000000110000;010010000000000000;001000100000001000;000100001001010000;000110100000000001
000110101010111101;100000000000000010;010000000000000100;000100001010100111;000000001000000010;100100000000000100;100000010000000010;000000010000010000;100001000000010000;100000000011000000
000100011111001111;110100100111100011;000000000000000101;100000000000100000;100011000000000000;100000101001011000;000000110000000100;000000100000000100;010100000000010010;100000100010000000
100010101010101110;101010011011011100;001011001111100011;100001001000000000;000000000000000001;110000000000001000;000000000000110010;101100000000100101;110001001111001000;100000000001000010
011000110100111100;110100100110010111;100000000000000000;100000000100000010;000000100000000001;000000100000000010;100000100000001000;100000010100000000;101001000000000000;100000000000101000
000000000000111111;000000000010000010;000000100000000001;100001000001000000;101100000110001100;010110100111101000;000000000000100010;000000001000100000;010001000000000011;001000010000000000
000101110101011110;000000000000000010;110100110010000001;001010110010000000;010000000000000001;100010000100001001;000000000000000000;100000100000000010;100000001000000111;000000000011000000
101101000111110001;111010000010110110;000100000000001000;000000000010000001;100001101010010000;010001011000010100;111000000001000000;100010100100001001;100000100100100100;000100000010000000
111110000101110000;000010000000000001;100001000010000000;101000000000001101;010001011010000110;110010000000000001;110001000000000011;100000000000000011;000000000000000000;010010000010010001
110110111110000011;000000000000000110;100101100000100000;010110000101000101;000011110000010000;001000001000000000;000000000101000000;000000000100000100;000100000000000010;000011000000000000
000011101001000011;011101110111101011;101000111111001000;000000001000000000;100000101000000000;111000000001110000;000101000000000000;100000010100000000;100000011000000000;100000000000010000
111000111111010011;000000000001000010;110000000000001000;000000000010000001;000100000100000000;110000001000010001;000000100000010000;100000100000100100;100000100000001000;110000000010000000
001011001110111010;101001000100100111;001000010001101100;000000000010100000;000000000010010000;101000000001001001;111010000011011001;000100001000000000;000000000010010000;101000000010010001
001100110100001110;000000000001000100;010010100010111010;100000010000010000;000000000100100000;101010100001000101;100100000000100000;000000000000100100;000000010000111111;100100000000111000
000111011010010000;100011111000101110;110110001111110100;000000000000000000;110010000001001000;100100001000000000;000000010000001000;100000100000000000;100010010000000000;000000111100010000
101111001101100110;100000000110000000;010000010000000000;000000100000001110;100000100000001000;010000010000100101;000000000000000110;010100000000000000;100001000000010000;100001101000000000
101000100110001100;100000010000000001;100100001000000000;111000101000111100;010000100000000010;000000000010000100;011000011000001101;100001100000001001;000000001000000010;000000011010001001
100101011110010001;100111110100000000;101000111111111011;010000000010000000;110010000000000000;100000000110001000;101000100000001001;100000000100000010;000000000010000100;111101111110000111
101111100010111111;010100011011100010;100000000000000100;000000000100100000;000000000100001000;011100100000000000;100000000110000000;000001001000000000;100100100000000100;100100000000000001
000000100110101110;110000000000000100;100011100010111111;001010101000000101;000100000001000000;100000000001000010;000000000010100000;100000000100000100;100001000001000001;100000100001000000
111110001110001000;000000000000000100;101000000100100001;001011001101000010;010000100000000100;000000000100000010;100010000000000000;110000000000000010;000000000100100001;000010100100000000
010011101011010000;100001010100010101;100100000000000100;000100000000001000;100011000000001110;100001100000000000;000001000000000000;100000010000100000;100000010010000110;100011000000000000
100001011011101000;000000001010000000;000100001001010000;001010000000010000;010000011111011000;000000100000000000;110000100000000000;000010000000100000;000010000000010000;000000000101000000
101001110000111000;100000000110000000;000000000101000000;000101110011001000;000000000010000000;101000000000100111;101000100010000110;000001000000000010;110000000000000100;000000000001000010
