0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
00100000000000111111111100001001001000001101000011110101100110010010110111001000011011110110011101101001110111000000000001011110;00011111111111000000000000100010010100010001101100110111101010111001110100100000011001010101011100110001101110001110010001000100;00100000000000111111111101101010001100111110010011001110111110011100010011010011100011100010101011011010010111011101001011000010;00011111111110111111111100000000000101110100110000110011001010111101000100100010111111001110011001101001001010010110101101100010;00011111111110111111111110011111011000110000100101001101101111000110001001000101001010100001111101010101111010101001111101011000;00011111111111000000000000001100000001100010111110101001111010111111111001100100100110011101110111111110110011010110111001011100;00011111111110111111111100100110001110000011100101110110111001110001011100000001111010100001100111110010000111000010100101011010;00100000000000111111111100010101101010001011110000100101110010110011101000110010100101100101111011111011011101001110001010011111;00011111111111000000000000000000010101000110101110100010000101100011110010010101000101110010110000011001101010100110100001001101;00100000000000111111111100001010100011100010111010111010000010101101000010110000010010110011111101101001100001010010100101100101;00100000000000111111111100000110010011110101010100010000000011010101011110110101110000111110011010100111110100010011100011001001;00011111111110111111111101001111100111010101000100010000101111010111101011010101100101111111110011001101000101001101001110010100;00011111111111000000000000011000110011010011000001000001000110010110011110100000011000001001011110111010110100100011010101101001;00100000000000111111111100000001000111000010111111111001100000011010001111100001000011000000000011001010101101101010010110100001;00100000000000111111111100101000011111110001100010100101001111110111111011100100011110010010011100001101011010011110000011111101;00011111111110111111111100110010111011101011110000100011110111100011011110100101111011101010110010000011000000001111010000100011;00100000000000111111111101111101100011011000100000001000100111000001101011010010000011011001000000101100110100110111110010010001;00100000000000111111111100010010001000111001110001010001100101000010110001010100000010101111001100100000010001010110101110011000;00100000000000111111111100100011100100110110110110100000001000011111000101010101110111000010101000000001010000111010010101010010;00011111111111000000000000100101101111011100100010000001111100101100101011000001010010101101010101001100000010111110111001100110
00011111111110111111111111101001100001101111001010110011000011101101010000001000111001110000101100001000111010101100100000101010;00011111111110111111111100001010000010011011111111010001101011100011001011000011101000001010111101110001001100110010100001010111;00011111111110111111111100100010100000001111011010000001111000010010111011011011111010101110010101011101010001001001001101001000;00011111111110111111111101011011010010110110111111010110101110101001110110010101101010001100000100000101100001011000111001001111;00100000000000111111111100010010000101000110000111001000110101111101000110100000001110001101110111111011111111101001001001001010;00011111111110111111111100100100110110011100010000110101101011011001011101100110111010101101010000111011100100001001110001101011;00011111111111000000000001110111000100001011100111000101111001000011001110110000110010110001011011001111101011011100010100000100;00011111111110111111111100010011011001011111101101101110011011100111110110010010110011010000000010000011011001000100100011011111;00011111111111000000000000001110101001111011100100101110110111001100110101100000100111111000000111001100010110000111001000000111;00011111111110111111111101001001101111111101111001110110010110111001100101100000100100110000001111011010000110011011001001011011;00011111111110111111111100100111010001010011111000110011011110000101110110100010101100011110000111000011101001010111010101110101;00011111111110111111111101011001110000001001010110111101000001001101111111000000110100000001001000111001011101011011010000001011;00011111111110111111111100100111001101001101101111111101101000100100010001001100001101010001101100011110111110101001101001000101;00011111111110111111111100101110010111000000100000100101001001001101000011110100111100101111111110000011101010101010100011111110;00011111111110111111111101110110000101111100101010001100010110010101000110010010001111000010000101000011111001010101011011011001;00011111111110111111111100110111100001011101001001110010010000001011100001100100001111011000101100011011010000010101010000010110;00011111111110111111111100011110010110010111011000101001110100110010010100001001100111111011001111000010000010100001100110101100;00011111111110111111111101110000011010001000011100000100001110110000001100000000001101100000100111011101011011100101101000100101;00100000000000111111111100001011011111011111010101110010001111110110110010010101000001001111010101100010010100010111010010101111;00011111111110111111111110111011011001100101100100001111111011101001111101100010000101000000101100101010011101000100100001111010
00011111111110111111111110011100000000100000111111101101100110111100011000011101111001101000011000101000110010110110100100001101;00100000000000111111111100001111010100010100000101110100110111101100010101000010101101111001110000110111110110100111110000100100;00100000000000111111111100011111011001110110100000100011111111001010011010010000100101001010110000000111011001111111111001000010;00011111111111000000000001000100110010110101010101110101111011001001011011100000110001010000000001011110111100111010101011101101;00011111111110111111111100001100110110100011111011011111010100011001001101100100111100011100011010001011000011111100011100010110;00011111111110111111111100000110110010001110101111111111000101000111011000100101010000001010001111111001101000101110100010001010;00011111111110111111111100111000100111111111000001000010010101001111001001101100111111011111101001110100011111111010100000000010;00011111111110111111111110010101010010000111101100101011011111111001010001010001001110100011101100011111101100100110110010110011;00011111111110111111111110101111011110101001010110001101001111001000110100110000101101110000101011100000111011101100101111111010;00100000000000111111111100000100101110010010111111100110101010100101101110000011000011111101001000111011111101010111011100010010;00011111111111000000000000100111001010111010111110111111010000111011001111010001001000001100000101001000010001011110111110101011;00011111111110111111111100010000010011000100101011010001001111111001000111100011010111111001111001001011110010010111000110010010;00100000000000111111111100010101011000001001000110010001100101000010101101100100110111100001010101100100001101110001100101101100;00011111111110111111111100010110001111000011001010111101011011001110010000010101100100101100110011111001110111110100001110100111;00100000000000111111111100001011111100111001101000111000101100111111111001000101000001110001000000000011001010000100111001100110;00100000000000111111111100100000101000010101011111001100111000111010100010010000000001110001001100101101110010000110100010010000;00011111111110111111111100010001111010011111110000111000100000000010100111010011000011111011000100111110011011011000011001000110;00100000000000111111111100101100101000000011010110110001110111011110100001010000101010111111100000101000010110100010101011000010;00011111111111000000000001010101011101010000001111101100010011001111001111010011001110010001000101011110100101000000011010010010;00011111111110111111111100011110100100111011100101100100100000100100101110000101110001001011011101010110011001100000000101111110
00011111111110111111111110011001001011011110111011100001111010111110101111001001100111111001111011010111110010100010000100010001;00011111111110111111111110000110101110001110010001111111110011011011000011101001111011000101000101011110001011100010101011011110;00011111111110111111111100001000100110000001001011011011010000000011100001011011011111000000111111111111001001101010000011101110;00011111111111000000000001011000100111001000010000110110100101011111111000110000110101010100111010100100100110000100001010010010;00011111111110111111111100000101001000110000101110101110110001101010000111001100100110110100001101111111100101001001110101000110;00011111111111000000000001001100111110100001100110011010011000011001101000010000001001000101111111110001001111110111111001100101;00100000000000111111111100001111100100000010001000110111110111000111011010100001111001110001010010111010001011010101011110101011;00011111111110111111111100101100100011000001001001111001010101001010011011001000100110100110001100000001001111100101111000001001;00011111111110111111111100000111010000101010011010000000001100100000110000000100110111010010000101010111001101101100101000100111;00011111111110111111111111110011001101001111101100000001011001000000000111000010101110111010110000010100101001010011111010101011;00011111111110111111111100011010010111100110101100101100111001101011011111100100111100010101011101010110101000010101010110111000;00011111111110111111111100011011100101101111111011100110101000011001001101001010001000110000100100111001100100100100001100111011;00011111111110111111111110100001011010100101110010000011110010111100011000110110100011111100001011001011011000101001111100001001;00011111111110111111111101000000000110101011011110000010000100010100000001100111001101011111100100100101000111110111111101011011;00011111111110111111111100111010001011011100110111001000000010100100100111100001011000001001011110101000111110000011010001101010;00011111111110111111111110010011110111001100001100010010110011110110110110000000000110011000011100011010010101101000101100011001;00011111111110111111111101001010100000011100111100010111110100101100011100110011101101111110100001011010110011000100111000011110;00011111111110111111111110000000010110101000001101000001100101000010110110100000010111010101110100000010010111001101011110000101;00011111111110111111111101000110111011000111011000001010100111100000011110100011001111010100100100100010100000100011011000010100;00011111111110111111111100111001100101000010101001001110010100110001110011110011000001101010100110001111000101110001111000110011
00011111111110111111111110111010101011010101000000000101111111110110101101111000001000010100011100101001100001100101101011111100;00011111111111000000000000110101100101011000101100011100101101011011111100000000001011001100000101111111111101101101011100110111;00011111111110111111111100100011000110111101001011010000100101111010011100110001101101110011101100000011010100000000111001011110;00100000000000111111111101100011111011001001000101010111010100100010110010010001111110011100110010001000100110110101110010001010;00011111111110111111111110010111101111111110011111001111011011011101100010110010101000110001001010111100100001011001100001111110;00011111111110111111111100001111001111101100101101011100110001100101010110110110000000010001100100111101111001110100100010000101;00011111111111000000000000001110101001011000101111000011110101110010101111000001000110111001011001001100011110110010000110111110;00100000000000111111111101000110010101110000110000101101111111110111011001000001001101000110011000001100111000010111000010100101;00011111111111000000000000011110010000000000111000100100110000000000001111100001001101011100001000000000010000110111001001111101;00011111111111000000000000010010011001110111101110011000110101101100100001110001111011110110101000010100101110110110010110010110;00011111111110111111111100101011000000111001111100010100100101010100010111001110011011011100110110001011100111001011000000111011;00011111111110111111111100011000001100011100011110100000001000100011011000110001110001110101001111101011110000010111011111100100;00100000000000111111111100010100101011111110110001010010000101111000100011011000111111001100001110111100101110100010011101100101;00011111111110111111111100000101001000111111010110000000000000100110111110110110100000010111010010100000000000010100110110000001;00011111111110111111111101111100000010000110101101111101010101110100111100100011000001011100101101000001101101110000110100111000;00011111111111000000000001000001011011011101010001001110110001110101011101010000000110001001100111101111100001010111011011011000;00011111111110111111111100101000110001100111001010011000001111111000000101010010011000100011000111111010111111100001010010100010;00100000000000111111111101111100000101110010000101101010010111111001000101110000100110001100010010011111001101000010010110101101;00011111111110111111111101000010111110001101110000100010100000011010010001111001001110101111101011110001100011111100010001010010;00011111111111000000000000101110010011000101001111101011101100110010001111110001011110011110100010000001110000011101111111110101
00011111111110111111111110000011100011000000100011101000011001111011101110001101100000110111001001101010111011110000110001110101;00011111111110111111111100000000111000001010100001100000010011001001000110101110011000110000110011011010111100010011011001011000;00011111111110111111111100011011110000000101000111011010001100001110001010100001100001101110100000010000011101001110100100001000;00011111111111000000000000010011001011110101110001100110000111111110110001100001101010010110000101011001011010100000000001000001;00011111111110111111111100000100111101111010000110011001000111010110110000100000000101001010100010010111111111010110010101110110;00100000000000111111111100000110101101010101010010011101111001000001000011010000001000000011111010110110100110001011110000111100;00100000000000111111111101100011111101111110101110000110110111001101100110000000110010010011010100101101100010000101010100011010;00011111111110111111111100100001101100011000001100000100010111001111011011011011010011000110111100101011100100100100010111000011;00011111111110111111111101010010011111010110000110100111101100111011101000000000101111100010110100011101101101101111101010101101;00011111111110111111111100011001001110011111010100001011111110000001101100111100001100111111000111001001011100000110000101001011;00011111111110111111111101010101110101001011011010000111110001010001011111101011111001010001010001101001010001001000010001100100;00100000000000111111111100011001011011101011010101010111101011100110100101110000010111010010100110001111010100101011111110110111;00011111111110111111111100011000001011110010111101111110111100001101001110100100011001100010101011000110101001111100101001011000;00011111111110111111111100010010011110110101010110111000010011110111110111100110101000110101101001000011110001010111010101010100;00011111111110111111111100011101010111111110101110001111111100000111011010101001000110001001101110010001010100111110000011011010;00011111111110111111111100010110111110000000100101000100101100110101001000110010011000010100101100111000000110110000010000100001;00011111111110111111111100010011000000110010011010001111111101110000111110010001111001010010110110110001101100000111001101001010;00100000000000111111111100011101011101101010110000111001111101101110001111110001110100110001111101100101101101001001101110110100;00011111111110111111111100001000010101111001100010111100100000000010111001000001111010111100111011010110110110111011010011010110;00011111111110111111111100100110100101011010011000110011110101110111010001110001111000010100111110001001111111110011101110110110
00011111111110111111111110000000101100111111011010000110100001101010111000001000110110011100110010010100111110000110111111011101;00011111111111000000000000001101111111010100110101111101111111001101010100010000111100010011111110100000000100001011010101011010;00011111111110111111111100111111110111111111011111100111001110010001011100010001001000101000101100100111101111000111111101101100;00011111111111000000000000011011101010111101010000101110001110110111000010010000011000101110110011001111110001011111000110000010;00100000000000111111111101000001110111000010110101110011110111001101010000100001110010010001110000110011010010100000000100110000;00011111111111000000000000001111100110110001111011011000110101011001111011100001010001111000001000010100111000001000001000011101;00011111111110111111111101110100001001100000110100100110100011101010000101000001011101111010101011101000010000110110000100110111;00011111111111000000000000101010100100000100010101110001111101110101001100000100001010010010111010100111111011010111010100100111;00100000000000111111111101001100111010100001100000011111111010111010111111110000011000111010001100011010000000110101110100000101;00100000000000111111111100000101001110010011010111101010011001110111100101100010011100111000001101001101101100110001101101010111;00011111111110111111111100010100100111000111000010001101111101110001000101000010011101001110001100010001000011111011111000001000;00011111111110111111111110000101010010101010010010000100100000010101000100100100101101000110000111011100011011110100001110111000;00100000000000111111111100011000110110110111000011010011111110001110101100010010010011000000100100101011101101110110011110010100;00011111111110111111111101011010000001010011100101000100011000110011101010111000011010100001100001001010000001111110010110110010;00011111111110111111111101111011111101101001001110001011011101101110010110000011000010011111011011000001001000000001100001100011;00011111111111000000000000111101010000101111001110000110111011111111011001110000111100100100000100000001000100000101010000111001;00011111111110111111111100110011001110000100100111101100001100101000011001110011001111010100010100000101010001101110011101111001;00011111111110111111111110110011111011101000111011111011011110011110011001010101010100011011001001110101111011111100010110011001;00011111111110111111111110010110010101101111110011010111110110000100000100000110100001001101110101101100000110110000111110000011;00011111111110111111111100000001011111010110100011110010011111010110110111010010111001101010001001100000100100100010000001110100
00011111111110111111111111000101010101001100101010010110111101001110110011101010000101100101010010000011110100010000011001111100;00100000000000111111111100000000010111110100000111000010101010000001101000100000001001110010100011000011100011000010111111010010;00011111111110111111111100010010100011010011011111111011101000101010010000110000100101010011100000011110010110111111101101100101;00011111111110111111111100000111011010111010101000000001000010101000100100100100001101001101111001100111110100000010011011111111;00011111111110111111111101001111011001100000100110110110100111100110100111011001100100100010011001011001101100110011101011111011;00011111111110111111111110000100100010111100001111100101100101101010010000100000000110100111000110000011001001000100110000100110;00011111111110111111111100001101011000101101010111011110111110001010000000111000111101001111010010011101100111000011100010110100;00100000000000111111111101101000100110010101000110101100000101011010010001100001110010111101001111101100101101001000001000011101;00011111111110111111111100001110011011101100000000111000100111001000011010011110000010111111111010010110001110111100010011001100;00011111111110111111111100110001011100011010101011111100110110010100010111110011101110110101001010111000101101101011010010111111;00011111111110111111111100000101100000101110000011001101011010011101101010010100100010111010111110001111001000100101010110001011;00011111111110111111111100011001000000101011110111010101111110001110110010111111011100111101011010001001100001101001111110011111;00011111111110111111111110110000100101001001000001000010111101100110001011100111000011000000101111010011110010101101110011010111;00011111111111000000000000010111001101101111110011001110101101111001110111100000001101111100011111100011100111000111001100100101;00011111111111000000000000000101101101011110011101010000011001001100010100110011000110111101100010110101000100100100001100110111;00011111111110111111111111011111000101111001000011000000010010011010011010000001110101000010000011011000100011000010100111110110;00011111111110111111111101111001110111100110101110000000100110111000001010100010000001101100001100101011101101000110110111001001;00011111111111000000000000011001101000011001100110100100010011010101000110110000000111011110010011000111001011100100010100101111;00011111111110111111111110011001010111011111101000100110011110110011001001110001110011001000001110110100011100100011011001001001;00011111111110111111111101101100010010001100001110101010001000100101111101000001011000100110111101100001000000101101111011101011
00011111111110111111111111111000110011110011101000101111001001001100100011101000001101001101001110011111000011111110100000000010;00100000000000111111111100000101101000001111010001001001100001100001011001100000100100110001111101010100101010101110001110101000;00011111111110111111111110101000111000011101110101010010110000111100101110110000011111111000111010010011000011010101011101110011;00011111111110111111111110010010001100011111001010001011101001011110101101100000101101101110111000111100011010101110110011001100;00100000000000111111111100111100010000101011111010111110101110010011111011010001000100111011101000111100100101110101110001111100;00011111111110111111111110000110110010001100101011101010110110010011100001010000001101000101010100011001100111010000000110011010;00011111111110111111111110001110010001110011000000011011011011000111110111010010000001111111001111001100110000100010111110000100;00011111111110111111111101011110011101110101111111111011100111111111110011010100011000000110101110111100100000100101000010101100;00100000000000111111111101111100001000111110011110010001100111000001110111010000110110011100000100100010010011001101011110100010;00011111111110111111111100101110011010110010000111111100100001001001000111001110001010000010001011010110000001110011011001110100;00011111111111000000000000000101010010001000001110010011010000000101010100010010111110000000100111000011100101011111111111001111;00100000000000111111111100001110010000010100100110110111100111010010001100110001110010101010101101111110111111000110000110110010;00011111111110111111111100110000101100011001010001010011010110010011001101000001000110110011010100001000101011001001111001010111;00100000000000111111111101011110000111011001101110101001110001000100010001100001011000101000110111011111000001100010110111011000;00011111111110111111111110011001011000011000111010001110010110110011101001010101001111100000110011010011001001110010100101010010;00011111111110111111111100100100111000000001101101101110111110011110011010110010000110100001011011010001010010011100111100001111;00011111111110111111111111100101010101011000101101001001011101101000111101110101011110101110001110110100011111100011011100010010;00011111111110111111111101101111011110011001000110011101001101101111101000010001101011110011010010101000100011000101011001111101;00011111111110111111111100011011110000010110100011101111110001110001101111100001001011101001101010011100001000010010011010110001;00011111111110111111111100001100010000111011100001001100010001111100001001101000100100000010011001111001100000001101110011111101
00011111111110111111111110001000001110101101111011000000000101100000011000111000101011101101010010101011110100111010110100111110;00011111111110111111111100001011011110000010101011010111110010100100001100001010000110111101110000100101100111100111110000010001;00100000000000111111111100100000110001101111010000001011100101101111000110110000010111011110101010001001000111100110010110110111;00011111111110111111111110010111111100101011000111101011011011111011011110100001000111101111101101000011101011100011100110110001;00011111111110111111111100011101001000000111110100101100100100001011110111000010100001001100011111010011001111110010010111001111;00011111111110111111111100011011101101011001110111100111010000101010111111001001000110001010000111101000011000110000110100000110;00011111111110111111111100100010101011111100000001010011111000000001100001100111000100111111000101001111011011111000100101111011;00011111111110111111111100101011001000101100111101011001011010001001011000110000100000000010110000000100101101001111111100111110;00011111111111000000000000001111101100110011100100011101100100100000001011010010010001110001000011101110111010000100110101011010;00011111111110111111111100110001011010010100111101001001100010110100010101100101010001101010111010001101100000000101011001010111;00011111111110111111111101001011110111001110111100101010111110011101000010110010101010100010010010100000100100111001010111111001;00011111111110111111111100111011100111010010101011001011111100101101101101000100001100000100111000100100100100111100100101101001;00011111111110111111111100001110011100000110111111110011011101000001001001100010100001010100001110000011000010111110100001001100;00100000000000111111111100011010100111011101000111001010011101011110110100100010111000001111001100100011000101001000111111011011;00011111111110111111111110100011000110011011101010001000111100101010110000110010111010000111100100001110010110101011111100110010;00011111111110111111111100010010100110110010111000000010101101001111110101100001111010011000001001100111100010110101110111000011;00011111111110111111111100100011110110001001101110101011011010001011100010111010001000111100001010001001100010001100001111100110;00011111111110111111111111000111110101100101111111000110110000010111111001100001000000000110110000100111110001010010111111101101;00100000000000111111111100011001011111001001101111110001010101100000001100100111001001001100010100101111110010011001010100000010;00011111111110111111111101000100111001101011101110011000100011010010001100011010000001001001100001000101011011001100101001111001
